#Date     	Time    	T IR	T Sens	Mag  	Hz   	Alt	Azi  	Lat    	Lon   	SL m
2018-09-01 	23:14:41	10.41	25.87	20.1	1.169	20	323	38:20:51,79186	-4:54:6,05866	690
2018-09-01 	23:14:42	10.13	25.89	19.73	1.644	19	333	38:20:51,78858	-4:54:6,0754	689
2018-09-01 	23:14:43	10.27	25.87	19.73	1.644	19	333	38:20:51,78577	-4:54:6,07594	689
2018-09-01 	23:14:44	10.17	25.83	19.71	1.675	19	332	38:20:51,78865	-4:54:6,07122	689
2018-09-01 	23:14:45	10.19	25.87	19.72	1.66	19	332	38:20:51,78854	-4:54:6,05506	689
2018-09-01 	23:14:46	10.05	25.89	19.72	1.66	18	332	38:20:51,79574	-4:54:6,05315	689
2018-09-01 	23:14:48	10.23	25.83	19.72	1.66	19	331	38:20:51,80039	-4:54:6,05146	689
2018-09-01 	23:14:49	10.23	25.87	19.72	1.66	19	332	38:20:51,80248	-4:54:6,0475	689
2018-09-01 	23:14:50	10.13	25.81	19.72	1.66	19	333	38:20:51,80197	-4:54:6,04649	689
2018-09-01 	23:14:51	10.23	25.87	19.72	1.66	19	332	38:20:51,80086	-4:54:6,04631	689
2018-09-01 	23:14:52	10.23	25.83	19.72	1.66	19	332	38:20:51,80053	-4:54:6,04642	689
2018-09-01 	23:14:53	10.19	25.83	19.72	1.66	19	332	38:20:51,80053	-4:54:6,04642	689
2018-09-01 	23:14:54	10.23	25.81	19.72	1.66	19	333	38:20:51,7996	-4:54:6,043	689
2018-09-01 	23:14:55	10.27	25.81	19.72	1.66	18	332	38:20:51,7956	-4:54:5,98925	689
2018-09-01 	23:14:56	3.93	25.81	19.86	1.459	16	327	38:20:51,78646	-4:54:5,99965	689
2018-09-01 	23:14:57	3.93	25.79	19.86	1.459	39	348	38:20:51,78404	-4:54:6,02147	689
2018-09-01 	23:14:58	3.97	25.79	20.47	0.832	39	348	38:20:51,78444	-4:54:6,02543	689
2018-09-01 	23:14:59	3.89	25.79	20.47	0.832	39	347	38:20:51,78005	-4:54:6,02176	688
2018-09-01 	23:15:00	4.01	25.77	20.47	0.832	39	347	38:20:51,78322	-4:54:6,02201	687
2018-09-01 	23:15:01	3.93	25.75	20.46	0.839	39	348	38:20:51,78322	-4:54:6,02201	687
2018-09-01 	23:15:02	3.89	25.77	20.46	0.839	39	347	38:20:51,81043	-4:54:6,01124	686
2018-09-01 	23:15:03	3.97	25.77	20.46	0.839	39	347	38:20:51,83563	-4:54:5,99965	686
2018-09-01 	23:15:04	3.93	25.77	20.46	0.839	39	348	38:20:51,83563	-4:54:5,99965	686
2018-09-01 	23:15:05	4.05	25.75	20.47	0.832	39	347	38:20:51,86573	-4:54:6,00847	686
2018-09-01 	23:15:06	-1.17	25.73	20.47	0.832	39	347	38:20:51,86807	-4:54:6,00552	686
2018-09-01 	23:15:07	-1.21	25.75	20.47	0.832	59	352	38:20:51,87185	-4:54:5,99821	686
2018-09-01 	23:15:08	-1.13	25.75	20.81	0.608	58	354	38:20:51,85583	-4:54:5,99706	685
2018-09-01 	23:15:09	-1.21	25.73	20.81	0.608	58	353	38:20:51,85594	-4:54:5,99738	685
2018-09-01 	23:15:10	-1.09	25.75	20.81	0.608	58	354	38:20:51,84323	-4:54:5,96884	685
2018-09-01 	23:15:11	-1.17	25.73	20.81	0.608	58	354	38:20:51,83452	-4:54:5,96142	685
2018-09-01 	23:15:12	-1.13	25.75	20.81	0.608	58	353	38:20:51,82861	-4:54:5,96092	686
2018-09-01 	23:15:13	-1.09	25.71	20.81	0.608	58	354	38:20:51,82714	-4:54:5,97391	686
2018-09-01 	23:15:14	-1.09	25.73	20.81	0.608	58	354	38:20:51,82544	-4:54:5,98234	686
2018-09-01 	23:15:15	-1.13	25.69	20.81	0.608	58	353	38:20:51,80446	-4:54:5,99425	686
2018-09-01 	23:15:16	-3.79	25.69	20.81	0.608	58	353	38:20:51,79459	-4:54:5,99126	686
2018-09-01 	23:15:17	-3.79	25.67	20.81	0.608	81	169	38:20:51,79459	-4:54:5,99126	686
